published_at,temp,hum,ligh,bat
2020-11-10T14:04:41.073Z,25,50,9,99.89
2020-11-10T14:36:48.595Z,25,50,9,99.72
2020-11-10T14:37:34.940Z,24,50,9,99.55
2020-11-10T14:48:01.287Z,25,50,10,99.55
2020-11-10T14:58:28.259Z,24,50,10,99.39
2020-11-10T15:08:53.322Z,24,50,10,99.39
2020-11-10T15:19:18.832Z,24,51,10,99.22
2020-11-10T15:29:44.165Z,25,50,10,99.03
2020-11-10T15:40:09.375Z,24,50,10,99.03
2020-11-10T15:50:09.375Z,24,51,10,98.83
2020-11-10T16:00:59.867Z,24,51,10,98.83
2020-11-10T16:11:31.069Z,24,51,10,98.64
2020-11-10T16:21:56.307Z,24,51,10,98.64
2020-11-10T16:32:21.417Z,-4,-4,10,98.45
2020-11-10T16:43:04.159Z,-4,-4,10,98.45
2020-11-10T16:53:29.130Z,24,51,10,98.26
2020-11-10T17:03:54.554Z,24,51,10,98.07
2020-11-10T17:14:25.025Z,24,51,10,98.07
2020-11-10T17:24:50.123Z,24,52,10,97.88
2020-11-10T17:35:32.764Z,24,52,10,97.88
2020-11-10T17:45:57.579Z,24,53,10,97.68
2020-11-10T17:56:22.898Z,24,53,10,97.68
2020-11-10T18:06:48.196Z,24,54,10,97.49
2020-11-10T18:17:13.285Z,24,54,10,97.3
2020-11-10T18:27:38.630Z,24,54,10,97.3
2020-11-10T18:38:03.852Z,23,54,10,97.11
2020-11-10T18:48:29.180Z,23,55,10,97.11
2020-11-10T18:58:54.872Z,23,55,10,96.92
2020-11-10T19:09:26.443Z,23,55,10,96.92
2020-11-10T19:19:57.787Z,23,55,10,96.72
2020-11-10T19:30:22.983Z,23,55,10,96.53
2020-11-10T19:40:48.309Z,-4,-4,10,96.53
2020-11-10T19:51:13.413Z,24,55,10,96.34
2020-11-10T20:01:39.063Z,24,54,10,96.34
2020-11-10T20:12:04.472Z,24,55,10,96.15
2020-11-10T20:22:29.632Z,23,55,10,95.96
2020-11-10T20:32:54.748Z,23,55,10,95.96
2020-11-10T20:43:20.026Z,23,55,10,95.76
2020-11-10T20:53:44.869Z,23,55,10,95.76
2020-11-10T21:04:27.350Z,23,55,10,95.57
2020-11-10T21:14:52.790Z,23,55,10,95.38
2020-11-10T21:25:17.873Z,23,55,10,95.38
2020-11-10T21:35:43.163Z,23,55,10,95.19
2020-11-10T21:46:08.511Z,23,55,10,95.19
2020-11-10T21:56:33.890Z,23,55,10,95
2020-11-10T22:06:59.537Z,23,55,10,95
2020-11-10T22:17:31.004Z,-4,-4,10,94.81
2020-11-10T22:28:20.728Z,23,55,10,94.61
2020-11-10T22:38:46.216Z,23,55,10,94.61
2020-11-10T22:49:11.551Z,23,55,10,94.42
2020-11-10T22:59:36.948Z,23,55,10,94.42
2020-11-10T23:10:02.068Z,23,55,10,94.23
2020-11-10T23:20:27.299Z,23,55,10,94.23
2020-11-10T23:30:52.589Z,23,55,10,94.04
2020-11-10T23:41:23.876Z,23,55,10,93.85
2020-11-10T23:51:55.557Z,23,55,10,93.85
2020-11-11T00:02:23.150Z,23,55,10,93.65
2020-11-11T00:12:48.281Z,23,55,10,93.65
2020-11-11T00:23:19.634Z,23,55,10,93.46
2020-11-11T00:33:45.366Z,23,56,10,93.46
2020-11-11T00:44:11.224Z,-4,-4,10,93.27
2020-11-11T00:54:43.020Z,23,56,10,93.08
2020-11-11T01:05:25.449Z,23,55,10,93.08
2020-11-11T01:15:56.828Z,-4,-4,10,92.89
2020-11-11T01:26:21.838Z,23,55,10,92.89
2020-11-11T01:36:53.238Z,23,56,10,92.69
2020-11-11T01:47:18.276Z,23,55,10,92.5
2020-11-11T01:57:43.372Z,23,56,10,92.5
2020-11-11T02:08:08.711Z,23,55,10,92.31
2020-11-11T02:20:01.521Z,23,56,10,92.31
2020-11-11T02:30:26.353Z,23,56,10,92.12
2020-11-11T02:40:51.548Z,23,56,10,92.12
2020-11-11T02:51:16.655Z,23,56,10,91.93
2020-11-11T03:01:42.565Z,23,56,10,91.93
2020-11-11T03:12:14.635Z,23,56,10,91.74
2020-11-11T03:22:39.181Z,23,56,10,91.54
2020-11-11T03:33:04.809Z,23,56,9,91.54
2020-11-11T03:43:30.316Z,23,56,10,91.35
2020-11-11T03:53:55.602Z,-4,-4,10,91.35
2020-11-11T04:04:21.006Z,23,56,10,91.16
2020-11-11T04:14:46.790Z,23,55,10,91.16
2020-11-11T04:25:18.169Z,23,56,10,90.97
2020-11-11T04:35:43.203Z,23,55,10,90.97
2020-11-11T04:46:08.474Z,23,56,10,90.78
2020-11-11T04:56:39.649Z,23,56,10,90.78
2020-11-11T05:07:04.598Z,23,55,10,90.58
2020-11-11T05:17:31.016Z,22,56,10,90.39
2020-11-11T05:28:02.434Z,23,55,10,90.39
2020-11-11T05:38:27.794Z,22,55,10,90.2
2020-11-11T05:48:52.922Z,23,56,10,90.2
2020-11-11T05:59:18.195Z,22,55,10,90.01
2020-11-11T06:09:43.826Z,22,55,10,90.01
2020-11-11T06:20:08.873Z,23,55,10,89.82
2020-11-11T06:30:34.654Z,23,55,10,89.82
2020-11-11T06:40:59.796Z,23,55,10,89.62
2020-11-11T06:51:31.123Z,23,55,10,89.62
2020-11-11T07:01:56.720Z,23,55,10,89.43
2020-11-11T07:12:22.133Z,23,55,10,89.43
2020-11-11T07:22:46.699Z,23,55,10,89.24
2020-11-11T07:33:12.681Z,23,55,10,89.24
2020-11-11T07:43:37.357Z,23,55,10,89.05
2020-11-11T07:54:02.785Z,23,54,10,89.05
2020-11-11T08:04:27.901Z,23,55,10,88.86
2020-11-11T08:14:53.311Z,23,54,10,88.86
2020-11-11T08:25:18.323Z,23,54,10,88.67
2020-11-11T08:35:43.983Z,23,54,10,88.67
2020-11-11T08:46:09.501Z,23,54,10,88.47
2020-11-11T08:56:35.357Z,-4,-4,10,88.47
2020-11-11T09:07:07.320Z,-4,-4,10,88.28
2020-11-11T09:17:32.902Z,23,54,10,88.09
2020-11-11T09:27:59.001Z,23,54,10,88.09
2020-11-11T09:38:24.942Z,23,54,10,87.9
2020-11-11T09:48:50.784Z,23,54,10,87.9
2020-11-11T09:59:16.195Z,-4,-4,10,87.7
2020-11-11T10:09:48.026Z,23,54,10,87.7
2020-11-11T10:21:57.634Z,23,54,10,87.51
2020-11-11T10:32:23.469Z,23,54,10,87.32
2020-11-11T10:49:06.858Z,23,54,10,87.32
2020-11-11T10:59:33.077Z,23,54,10,86.93
2020-11-11T11:10:23.534Z,-4,-4,10,86.74
2020-11-11T11:20:49.578Z,-4,-4,10,86.54
2020-11-11T11:31:15.500Z,23,54,10,86.54
2020-11-11T11:41:40.692Z,23,54,10,86.35
2020-11-11T11:52:12.548Z,23,54,10,86.35
2020-11-11T12:02:45.037Z,23,54,10,86.16
2020-11-11T12:13:11.572Z,23,54,10,86.16
2020-11-11T12:23:37.265Z,23,54,10,85.97
2020-11-11T12:34:03.793Z,23,54,10,85.97
2020-11-11T12:44:29.648Z,23,54,10,85.77
2020-11-11T12:54:55.467Z,23,54,10,85.77
2020-11-11T13:05:21.495Z,23,54,10,85.58
2020-11-11T13:15:47.590Z,23,54,10,85.58
2020-11-11T13:26:13.431Z,23,54,10,85.39
2020-11-11T13:36:45.398Z,23,54,10,85.39
2020-11-11T13:47:11.732Z,23,54,10,85.19
2020-11-11T13:57:44.912Z,23,54,10,85.19
2020-11-11T14:09:03.133Z,22,57,10,85.19
2020-11-11T14:20:21.324Z,22,56,9,85.39
2020-11-11T14:31:33.400Z,22,53,9,85.39
2020-11-11T14:43:06.513Z,22,54,10,85.58
2020-11-11T14:54:33.894Z,23,53,9,85.77
2020-11-11T15:06:01.091Z,22,56,9,85.97
2020-11-11T15:17:34.417Z,22,55,9,85.97
